nombre;presentacion;marca;diferenciador;precio;imagen
Chicles;12u;Adams;Canela ;1500;productos/tbcssexrcizczmp4qzjn
Chicles;12u;Adams;Menta;1500;productos/vzpfnzagvmxzgiyletrg
Chicles;12u;Adams;Tutti Frutti ;1500;productos/oqglafawlzp2n1fd7i2q
Chicles;12u;Trident ;Total Fresa;2900;productos/bzzlmwz4ppyky7tbxgvi
Chicles;12u;Trident ;Total Menta ;2900;productos/n6ppdndbjne0btlnstfj
Chicles;12u;Trident ;Total Yerbabuena ;2900;productos/xfh5al0mgdqhgpzdayt7
Chicles;14u;Trident ;London Cult Mint ;2900;productos/rk2qdocpezehj3o3o1vr
Chicles;14u;Trident ;Manhattan Night Mint ;2900;productos/szgmkjj5us43idiuitkc
Chicles;18u;Trident Sensations;Island Berry Lime ;2900;productos/ozchrkijujk1p4bz4t88
Chicles;18u;Trident ;Mint Bliss ;2900;productos/yvipuifx64w9njwkjzfz
Chicles;18u;Trident Sensations;Durazno Mango ;2900;productos/ijhxocew3al7wgpisn86
Chicles;8u;Trident Splash;Fresa con Limon ;2500;productos/r9rniiwpedreqzja6z2i
Chicles;18u;Trident ;Wintergreen;2900;productos/nhwlxcaoiohi6n6crppe
Chicles;6u;Trident Fresh;Intense ;1900;productos/oe3rboejdo3adeteod7t
Chicles;6u;Trident ;Menta;1500;productos/adoswl87u6pu0vxhvxb2
Chicles;6u;Trident ;Mora Azul ;1500;productos/tra9sda8ytl8ynmx1sx2
Chicles;6u;Trident ;Sandia ;1500;productos/yv8w0hpcii8rseabcxrw
Chicles;6u;Trident ;Total Menta ;1900;productos/qhclfmi2e4vcbutazsyo
Chicles;6u;Trident ;Tropical ;1500;productos/ftuilpvdkeeqrvox7i5p
Chicles;8u;Trident Splash;Menta con Vainilla ;2500;productos/cyvf6aokscrgzsevlgv7
Chicles;15u;Extra ;Classic Bubble ;4200;productos/mipjtpksfiu6z6yvnmz8
Chicles;15u;Extra ;Spearmint ;4200;productos/hb9fdnv6izdbhkyrfypu
Chicles;18u;Trident ;Watermelon Twist;2900;productos/cr3t3v8ednbyyyq2xbbz
Chicles;6u;Trident ;Yerbabuena ;1500;productos/r4ckfnlye7kalflmvkhq
Chiclets ;12u;Adams;Yerbabuena ;1500;productos/qg40hc2ykfnsem4ye8iw
Chiclets ;8u;Adams;Canela;1900;productos/q40s5um4o5pydc6ak8gg
Chiclets ;8u;Adams;Menta ;1900;productos/jkdgs6as5irurdno7lk6
Chiclets ;8u;Adams;Tutti Frutti ;1900;productos/n9djmnvgbwpzkuibebc2
Chile con Carne de Res;100g;Zenu ;;6500;productos/m5ryrzu5jcyeb8mddiod
Chocmelos;28g;Chocmelos;Mickey ;1500;productos/sjnrzrin5lkvgseclv18
Choco Break ;50u;Choco Break ;Ball;5700;productos/egcofvybxezca9mmwyz2
Chocolate ;250g;Corona ;Tradicional ;3100;productos/b1qug1hxgfhuvpx7r80c
Chocolate ;250g;Diana ;Clavos y Canela ;3400;productos/m6lygtmliw7iowlvsrku
Chocolate ;250g;Sol;Con Azucar;3400;productos/hsgbzvqbgqtkztdadu7m
Chocolate ;500g;Bogotano ;Chocolate de Mesa con Azucar ;6100;productos/ism3dmzwzmmrac7kd2th
Chocolate ;500g;Corona ;Tradicional ;5900;productos/mcebhaqhtxuwvqyzoatc
Chocolate ;500g;Diana ;Clavos y Canela ;5900;productos/meq3bntlhv82zirtpmza
Chocolate ;500g;Sol;Con Azucar;5900;productos/jmgifjlawxdxfxw0quvt
Chocolate ;248g;La Especial;Clavos y Canela con Azucar ;3400;productos/gadtzapzitvolarrph30
Chocolate ;248g;La Especial;Tradicional con Azucar ;3500;productos/atzrvamgmbqhrwgaty65
Chocolatina ;100g;Jumboo ;Mani ;4000;productos/n6tbnkdj1bqziyex7d1e
Chocolatina ;12g;Jet ;;500;productos/pqlau0tbyrx4oiipejti
Chocolatina ;22g;Jet ;Wafer ;1300;productos/zycegoffxmeu2hj8b54e
Chocolatina ;24g;Jet ;Blanca ;1400;productos/vfjvlmpjjyhlg8u1i6kb
Chocolatina ;30g ;Jet ;;1500;productos/ejmueyclsoaixncv3uhj
Chocolatina ;40g;Jumbo ;Mani ;2800;productos/ho64trdz1eiwrsqg5dil
Chocolatina ;52.7g;Snickers;;2500;productos/bmbk0ebokohykwwjheho
Chocolatina ;52g;Milky Way ;;2500;productos/cozfjonvuljlshuqu352
Chocolatina ;100g;Jumbo ;Almendras;4900;productos/k6mvgmiph7int5bxf76f
Chocolatina ;2u;Reeses ;;2900;productos/dovlaviyour9npml3ovt
Chocolatina ;43g;Kinder ;Bueno ;3200;productos/nswifo3qwycmv5r7sb5g
Chocolatina ;48g;Jumbo ;Flow Blanca ;1900;productos/bhujhjjswu5mmsvapadp
Chocolatina ;48g;Jumbo ;Flow Negra ;1900;productos/oqztnievg6mo2paeoctu
Chocolatina ;60g;Montblanc ;Almendras;4500;productos/t0vky6fptm5ghutevp4h
Chocolatina ;90g;Italo ;Fresa;2200;productos/dinxezrgnpryvpzsompu
Chocorramo;70g;Chocorramo;;1100;productos/p2aomevj4iwxiqbmjsyj
Chokis ;19g;Chokis ;;1500;productos/shhnbbtzkic37663xa68
Cholitos ;240g;Choclitos ;Limon XXL;3500;productos/kltpdjjmhmwg0jvhwmea
Cholitos ;29g;Choclitos ;Limon ;900;productos/mchgmnxhecfggbxcaobo
Chupeta;24u;Pirulito ;Leche ;4500;productos/hqtjhgcjapfs5vnpeo5x
Chupeta ;25u;Tipitin ;Leche ;2000;productos/i83ijwnjzfullgbgynkv
Cigarrillos ;10u;Belmont;;1900;productos/xhghhmau2x1rkdjreqzo
Cigarrillos ;10u;Kool;Blue;2500;productos/nikblqfozb1icftgykih
Cigarrillos ;10u;Kool;White;2500;productos/ovsyejv7hs3ixk7f3luy
Cigarrillos ;10u;Marlboro ;Gold;2500;productos/mep5mtcfk0zswsb3i2eq
Cigarrillos ;10u;Marlboro ;Ice Express;2500;productos/dbqbj7ugllb5t82laks4
Cigarrillos ;10u;Mustang;;1900;productos/anl3dlucdpoybekahctu
