nombre,presentacion,marca,diferenciador,precio,imagen
Energizante,250ml,Red Bull,,5500,Energizante250mlRed Bull.jpg
Energizante,330ml,Peak,,3900,Energizante330mlPeak.jpg
Energizante,470ml,Vive 100,,2600,Energizante470mlVive 100.jpg
Energizante,500ml,Monster ,,5400,Energizante500mlMonster .jpg
Salchichas Frankfurt ,380g ,Zenu,Lata 7 und ,5700,Enlatados y Conservas Salchichas Frankfurt Lata 380 g ZenuLata 7 und .jpg
Espuma de Afeitar ,396g,Jgb,Piel Normal ,16900,Espuma de Afeitar 396gJgbPiel Normal .jpg
Espuma de Afeitar,420ml,Jgb,Piel Normal,9750,Espuma de Afeitar420 mlJgbPiel Normal.jpg
Fab,900g,Fab,Floral,7400,Fab900 gFabFloral.jpg
Fideos ,250g,Doria ,,2500,Fideos 250gDoria.jpg
Galletas ,12u,Festival ,Chocolate ,4900,Galletas 12uFestival Chocolate .jpg
Galletas ,12u,Festival ,Fresa,4900,Galletas 12uFestival Fresa.jpg
Galletas ,12u,Festival ,Limon ,4900,Galletas 12uFestival Limon .jpg
Galletas ,12u,Festival ,Vainilla ,4900,Galletas 12uFestival Vainilla .jpg
Galletas ,168g,Club Social ,Queso Provolone ,3500,Galletas 168gClub Social Queso Provolone .jpg
Galletas ,241g,Ducales ,,4900,Galletas 241gDucales .jpg
Galletas ,26g,Club Social ,Original ,1200,Galletas 26gClub Social Original .jpg
Galletas ,27g,Fitness ,Ajonjoli ,900,Galletas 27gFitness Ajonjoli .jpg
Galletas ,27g,Tosh ,Ajonjoli ,1200,Galletas 27gTosh Ajonjoli .jpg
Galletas ,28g,Bridge ,Fresa ,1300,Galletas 28gBridge Fresa .jpg
Galletas ,28g,Bridge ,Vainilla,1300,Galletas 28gBridge Vainilla.jpg
Galletas ,300g,Saltin Noel ,Tradicional ,3300,Galletas 300gSaltin Noel Tradicional .jpg
Galletas ,30g ,Fitness ,Miel ,900,Galletas 30g Fitness Miel .jpg
Galletas ,30g ,Quaker ,Chocolate ,1200,Galletas 30g Quaker Chocolate .jpg
Galletas ,30g ,Quaker ,Uvas Pasas ,1200,Galletas 30g Quaker Uvas Pasas .jpg
Galletas ,30g ,Tosh ,Miel ,1200,Galletas 30g Tosh Miel .jpg
Galletas ,33.6g,Festival ,Chocolate,700,Galletas 33.6gFestival Chocolate.jpg
Galletas ,33.6g,Festival ,Fresa ,700,Galletas 33.6gFestival Fresa .jpg
Galletas ,33.6g,Festival ,Vainilla,700,Galletas 33.6gFestival Vainilla.jpg
Galletas ,36.4g,Milo ,Sandwich ,700,Galletas 36.4gMilo Sandwich .jpg
Galletas ,36g,Oreo ,,900,Galletas 36gOreo .jpg
Galletas ,38g,La Lechera ,Sandwich ,700,Galletas 38gLa Lechera Sandwich .jpg
Galletas ,40g,Cocosette ,Sandwich ,700,Galletas 40gCocosette Sandwich .jpg
Galletas ,415g,Saltin Noel ,Integral ,2400,Galletas 415gSaltin Noel Integral .jpg
Galletas ,9u,Club Social ,Integral ,3500,Galletas 9uClub Social Integral .jpg
Galletas ,9u,Club Social ,Original ,3500,Galletas 9uClub Social Original .jpg
Gaseosa ,500ml,Coca Cola ,,2200,Gaseosa 500 mlCoca Cola .jpg
Gaseosa ,600ml,Coca Cola ,Cero,2600,Gaseosa 600mlCoca Cola Cero.jpg
Gaseosa ,600ml,Coca Cola ,Light ,2600,Gaseosa 600mlCoca Cola Light .jpg
Gaseosa,1.4L,Cuatro ,Toronja,3500,Gaseosa1.4LCuatro Toronja.jpg
Gaseosa,1.4L,Sprite ,,3900,Gaseosa1.4LSprite .jpg
Gaseosa,1.5L,Postobon,Colombiana,3900,Gaseosa1.5 LPostobonColombiana.jpg
Gaseosa,1.5L,Postobon,Manzana ,3500,Gaseosa1.5 LPostobonManzana .jpg
Gaseosa,1.5L,7 Up ,,3500,Gaseosa1.5L7 Up .jpg
Gaseosa,1.5L,Pepsi,,3500,Gaseosa1.5LPepsi.jpg
